"","subject","structure","text"
"4367","ingroup","outgroup","This experiment cannot quantify this."
"4368","ingroup","ingroup","What groups were compared?"
"4369","ingroup","outgroup","Within the discussion, all information that is not common knowledge needs to be cited"
"4370","ingroup","outgroup","Just say “of the gastrocnemius muscle in Rana pipiens”"
"4371","ingroup","outgroup","Put the whole year – you changed it everywhere else nicely!"
"4372","ingroup","outgroup","Should’ve been 0.1 ml"
"4373","ingroup","ingroup","Good job with general background info about resource allocation, but would be good to have more info about wavelengths specifically"
"4374","ingroup","ingroup","Incorrect interpretation here. The stats weren’t significant"
"4375","ingroup","outgroup","Need to refer to the figures in the results section. You have 2 graphs, so each dependent variable needs to have a p value"
"4376","outgroup","outgroup","Results and/or hypotheses are never “proven” …rather, your results do or don’t “support” the hypothesis"
"4377","ingroup","outgroup","I need to see the averages and standard devs or values or some kind"
"4378","ingroup","ingroup","Meaning what happens to threshold?"
"4379","outgroup","outgroup","Seems like you missed something here"
"4380","ingroup","outgroup","This graph is all over the place and needs to be fixed up. Look through your previous lab report notes on what goes into a good figure."
"4381","outgroup","outgroup","You need to make it clear how this related to your study and what it did, because it isn’t apparent how it is related"
"4382","ingroup","outgroup","Your figure caption needs work"
"4383","ingroup","outgroup","Other results of your stats, df and t-stat"
"4384","outgroup","ingroup","Didn’t you hypothesize that a higher level of JH would lower weight?"
"4385","outgroup","outgroup","I’m still not completely understanding the relationship between JH and weight, why does the drop before the commitment pulse mean anything to weight?"
"4386","outgroup","outgroup","Not necessarily, keep in mind what your stats mean"
"4387","outgroup","ingroup","Talk more about what this study did and found"
"4388","ingroup","outgroup","Use your p-value in the future to back this up"
"4389","ingroup","ingroup","…and the process was repeated? Did you wait for the Lanthanum Chloride to take effect?"
"4390","ingroup","ingroup","How did you analyze the data afterward?"
"4391","ingroup","outgroup","…and what did you find?"
"4392","outgroup","outgroup","Four?"
"4393","ingroup","ingroup","How did you treat them (methods)?"
"4394","ingroup","ingroup","I can tell you that this was not the case. All our frogs are about the same age and are killed just before lab starts."
"4395","ingroup","ingroup","Make it clear that each frog was its own control. This makes it sound like you used different frogs for the two treatements"
"4396","ingroup","ingroup","Make it clear that your leg was suspended from the force transducer (this is how you measured twitches)"
"4397","outgroup","outgroup","Might want to mention muscle in the title somewhere"
"4398","ingroup","outgroup","Refer to your figures in the results."
"4399","ingroup","ingroup","This is almost raw data and a table is not the best way to represent it. You should include at least one graph in the report, and I would suggest using it to replace this table."
"4400","outgroup","ingroup","This is borderline interpretation, which does not belong in the results. A better way to phrase this would be “Because this is higher than the alpha of 0.05, the results are statistically insignificant. ”Don’t comment on what it does or does not prove.  You might also want to describe any trends (which group had higher thresholds, for example)."
"4401","ingroup","outgroup","Volts? (I could be wrong)"
"4402","ingroup","outgroup","Wrong citation format (see Resource Guide)"
"4403","ingroup","outgroup","Force and amplitude are different things"
"4404","ingroup","outgroup","Force is the wrong word here, it’s technically amplitude, but I get your point"
"4405","ingroup","outgroup","Generally the format for this is average +/- standard deviation"
"4406","ingroup","ingroup","The x-axis label doesn’t make much sense here, and the error bars are still incorrect, but now they are somehow bigger. Let me know if you need help with this for your presentation"
"4407","ingroup","outgroup","They both had the same t-value? That’s pretty odd"
"4408","outgroup","outgroup","This is an interesting thought, did a specific reference lead you to this explanation though? Because you should reference something here"
"4409","outgroup","outgroup","You need to actually discuss this experiment"
"4410","outgroup","ingroup","Can you define the term threshold? That is necessary. Also consider the position of this sentence in the paragraph. This would be better after you explain the excitation-contractile process."
"4411","ingroup","outgroup","Can you specify which one was greater? Just saying that it was different is not enough to understand the result."
"4412","outgroup","ingroup","Consider the order of the ideas. First, mention the results and then state that they supported the hypothesis."
"4413","ingroup","ingroup","Did you give the muscle some tension with that configuration? The muscle was relaxed and contracted only during the stimulation, so consider changed that idea."
"4414","ingroup","ingroup","Not quite true. The contractile period goes from the beginning of contraction to the peak of maximum contraction (the point where the tension is generated)"
"4415","outgroup","outgroup","Past tense"
"4416","ingroup","ingroup","Same idea than before. You need to describe the result. Look the figure, and describe what you can see there"
"4417","outgroup","ingroup","This is good for an intro, but it is too general for the Abstract. This section is the summary of the paper, so only include very concise information, relevant for the experiment."
"4418","outgroup","outgroup","This is more of the same idea that there are different types of muscle and you mentioned that previously. (strong and easy fatigue…) You can keep this sentence if you prefer, and then delete the previous sentence. Just avoid repeating information, especially because this is not very relevant for your experiment."
"4419","ingroup","ingroup","This is not peculiar of the skeletal muscle. All the muscles types respond with a contraction."
"4420","outgroup","outgroup","This sentence is not giving new relevant information for the experiment"
"4421","ingroup","ingroup","Threshold is the minimum voltage required to generate a twitch. I am not sure that you can use that term here. Just confirm with the literature and check if they call it like that."
"4422","ingroup","ingroup","y-axis: Amplitude of contrcation"
"4423","outgroup","ingroup","you could include this in the results section."
"4424","ingroup","outgroup","You could specify the analyzed muscle"
"4425","ingroup","outgroup","+/-? Report means +/- SDs before your stats."
"4426","ingroup","outgroup","Ah, but that’s not what you tested with the ANOVA. What you compared statistically was electrophoresed growth vs. neutral growth. So, thinking about it this way, what does this mean in terms of your results?"
"4427","outgroup","outgroup","Does this flow?"
"4428","ingroup","outgroup","GE? Please capitalize your y-axis."
"4429","ingroup","outgroup","Good. And gives us an indication of how Physarum moves in a neutral environment…"
"4430","outgroup","outgroup","I want you to read this through and see how you could improve on flow of thoughts."
"4431","outgroup","outgroup","Past passive!"
"4432","outgroup","outgroup","Specifically… (You’re not deducing all of signaling in this lab.)"
"4433","outgroup","outgroup","This has no context. Really, pretend I have no idea what you’ve done in lab, then write!"
"4434","ingroup","outgroup","This has no support."
"4435","outgroup","outgroup","This is repetitive."
"4436","outgroup","outgroup","This reads rushed. Please put more thought into this."
"4437","ingroup","ingroup","Was it really an outlier? If so, did you do a Q-test and exclude it?"
"4438","ingroup","ingroup","What about the overall trend?"
"4439","ingroup","ingroup","What are the bright things I see across the agar?"
"4440","ingroup","ingroup","You have to give me more information here. What portion? Why?"
"4441","ingroup","outgroup","I don’t think “amps” is the right unit for your amplitude, although I could be wrong. You might want to double-check that"
"4442","ingroup","ingroup","Make it clear that you suspended the leg from a force transducer (this is how you actually measured the muscle twitch stimulated by the probes)"
"4443","outgroup","outgroup","Proofread this. Your verb tenses seem off. Also, be sure to include a hypothesis near the beginning of the abstract"
"4444","ingroup","outgroup","Remember to put the title of the graph immediately after the figure number (even if it is also on the graph itself)"
"4445","ingroup","ingroup","Statistical null hypothesis. If you are going to say later that the data supports you main/alternative hypothesis, you need to make clear that you are only talking about the statistical result here."
"4446","ingroup","ingroup","Statistical test(s)?"
"4447","ingroup","ingroup","Be sure to discuss both dependent variables here"
"4448","ingroup","ingroup","Be sure to refer to figures here ….e.g.  “blue was not greater than clear (Figure 1).”Make sure to report the results for both dependent variables. Give a separate p value for mass and for R:S"
"4449","ingroup","ingroup","Give this number in the results section too"
"4450","ingroup","ingroup","Still have this backwards. Think of “p value” was being “the probability that a difference is just due to chance”. It’s a number 0-1. Since you p value is big, that means that theres a large probability that your difference is just due to chance. In other words, big p value = no effect of your treatment"
"4451","outgroup","outgroup","?"
"4452","outgroup","outgroup","Be confident in what you are saying"
"4453","ingroup","ingroup","Between what treatments?"
"4454","outgroup","outgroup","Colloquial language"
"4455","ingroup","outgroup","Delete gridlinesSpecify your treatments (use concentration not “group 1 or 2”)"
"4456","outgroup","outgroup","Delete this"
"4457","outgroup","outgroup","Plagiarized"
"4458","outgroup","ingroup","Title should VERY briefly state the main takeaway of your experiment"
"4459","ingroup","outgroup","What do your error bars represent?"
"4460","outgroup","outgroup","What is the bigger picture?"
"4461","outgroup","outgroup","Why? Give a brief intro as to why you decided to study this and/or why this is relevant"
"4462","outgroup","outgroup","Writing flow reads robotically"
"4463","outgroup","ingroup","Instead of giving all these details about the excitation contraction coupling process, which is great for the Intro, but it might be too much for the Abstract, you could mention the known effect of caffeine."
"4464","ingroup","outgroup","Specify that this was for stimulation"
"4465","ingroup","outgroup","They were also the experimental condition. Be consequent with that"
"4466","outgroup","ingroup","You mention later in the sentence “prior to treatment”, then you can avoid saying control-leg myogram because it wasn’t a control leg."
"4467","ingroup","outgroup","You had a one-tailed hypothesis…"
"4468","ingroup","outgroup","In which condition. Specify that"
"4469","ingroup","outgroup","The gastrocnemius muuscle"
"4470","ingroup","ingroup","y-axis: Amplitude of contraction"
"4471","ingroup","ingroup","As the word “significant” is a statistical word, you can simply say “significantly” here."
"4472","ingroup","outgroup","At 27C"
"4473","ingroup","outgroup","Avoid using the word “prove” and try for “supported” as there are always uncertainties involved with science and its outcomes."
"4474","outgroup","outgroup","For the same reason we avoid “prove” the word “correct” should also be avoided. You can leave it a bit more vague as “Our hypothesis was tested by….”"
"4475","ingroup","ingroup","In your graph, you showed that the experimental groups ate less but grew more."
"4476","outgroup","outgroup","Missing outside sources (Basic Criteria)"
"4477","ingroup","outgroup","Non-toxic to non-insects"
"4478","outgroup","ingroup","This can be left out as data keeping methods isn’t crucial to repeating the experiment and will not necessarily affect the experiment’s outcome."
"4479","ingroup","outgroup","This would be considered raw data as you can still link each point to a specific worm (Basic criteria). If you would like to use a line graph, I would recommend a line for your control (averaged) and one for experimental (averaged) along with standard deviation bars for each day."
"4480","ingroup","outgroup","Authors transfer from place to place and eventually they die. Their affiliations cannot be cited."
"4481","outgroup","outgroup","But only one is cited"
"4482","ingroup","outgroup","Missing details = Article title"
"4483","ingroup","outgroup","Where was this article published?"
"4484","ingroup","ingroup","(Un)paired? Tails?"
"4485","outgroup","outgroup","Aha, there’s your deep thinking!"
"4486","ingroup","ingroup","Be clear that this is half the “higher” CO2 concentration."
"4487","outgroup","ingroup","But you’re not measuring any output from the light-independent reactions. Re-shift your focus to how increased [CO2] would affect the light-dependent reactions."
"4488","outgroup","ingroup","Don’t include methods here, but instead, summarize the trends."
"4489","outgroup","outgroup","Find a way to make this more concise."
"4490","outgroup","outgroup","I’d just get rid of this."
"4491","outgroup","ingroup","In the next sentence you claim this shouldn’t be a source of error…"
"4492","outgroup","outgroup","Intro! I didn’t know what you were talking about reading your report, lol!"
"4493","ingroup","outgroup","Just reference your figure; you don’t need to describe what it shows here."
"4494","ingroup","outgroup","Look at the BioCore Resource Guide for citation formatting."
"4495","outgroup","outgroup","Meh. This can just go in the intro."
"4496","outgroup","ingroup","Of? Use the intro to introduce the biology of the light-dependent reactions, use of DCPIP, and how it relates absorbance to photosynthetic activity."
"4497","ingroup","outgroup","SD?"
"4498","outgroup","outgroup","This should be emphasized in your hypothesis and discussion!"
"4499","outgroup","outgroup","Tie this back to importance of study."
"4500","ingroup","ingroup","Try to nix the table and put this into words. Also, I don’t think you added 10 mL seltzer water to 30 mL Hill reaction buffer."
"4501","ingroup","ingroup","Why two-tailed? Seriously, let me know and/or come to me for help."
"4502","ingroup","ingroup","Why you use kale?"
"4503","ingroup","ingroup","You have replicates, so each of your points should have errors bars. Come to me for help if you need (because Excel makes the individual error bars for each point thing more complicated than it should be)."
"4504","ingroup","ingroup","But what was the average control and treatment value? Also check your units"
"4505","ingroup","outgroup","In what animal? At was voltage? What kind of inhibitor? Flesh this out"
"4506","ingroup","outgroup","0.1ml"
"4507","ingroup","outgroup","Twitch threshold"
"4508","ingroup","outgroup","0.1ml"
"4509","ingroup","outgroup","How efficient you were in isolating the chloroplasts? Think about the step in your method about chloroplast isolation and propose a way for improvement."
"4510","outgroup","ingroup","Suggestion about reaction buffer should have explored other studies to propose specific alternative"
"4511","outgroup","outgroup","“In low” would be better"
"4512","outgroup","outgroup","and"
"4513","ingroup","ingroup","convert the raw absorbance data into %change data"
"4514","outgroup","outgroup","informal"
"4515","ingroup","outgroup","mention the critical value"
"4516","ingroup","ingroup","missing info about rpm and temperature"
"4517","outgroup","outgroup","revise"
"4518","outgroup","outgroup","revise"
"4519","outgroup","outgroup","revise"
"4520","outgroup","outgroup","this needs to be backed up by result data"
"4521","ingroup","outgroup","this shouldn’t go in-text citation"
"4522","ingroup","outgroup","two-sample"
"4523","outgroup","outgroup","unnecessary detail"
"4524","ingroup","outgroup","wrong format. It should be t-stat=_, d.f.=_, P=_. Refer to Bio Resource Guide for formatting details"
"4525","ingroup","outgroup","you used a spectrometer to record the absorbances"
"4526","ingroup","ingroup","Error?"
"4527","outgroup","outgroup","Include a sentence about why this happened and use that to segue into why you should adapt your experiment."
"4528","ingroup","ingroup","Are you talking about the contractile force measured (The base to peak measurement)? If so, this would be another amplitude (I would refer to this as contractile force)."
"4529","ingroup","ingroup","I would average all the values for controls together and the experimentals together and display this as a graph."
"4530","ingroup","ingroup","I would generalize the trend as this can be seen as raw data in some instances."
"4531","ingroup","ingroup","I would try to include the trend you saw (did the frequency increase or decrease?)"
"4532","ingroup","ingroup","If possible, I would try to have this and figure 2 side by side and have it as 1 figure."
"4533","ingroup","ingroup","any time you have an average graphed, you will need standard deviation bars (The standard deviation error bar option on excel doesn’t work properly, take a look at the resource guide or email me to learn how to add it properly). As such, this graph should have 16 standard deviation bars total."
"4534","ingroup","ingroup","As you’re more interested in the total difference in mass rather than the change for each day, you could use a bar graph showing the difference between final/initial mass (Your current graph works too but, you will want to quantify the difference in growth in some way)."
"4535","outgroup","outgroup","I think you were already doing this but just make it clear that because your results were not significant, the hypothesis was not supported."
"4536","outgroup","ingroup","Make sure to include a brief sentence or two from your intro and methods (Briefly give background and talk about the big picture for your methods)."
"4537","ingroup","ingroup","Make sure to say what concentration and substance you used. In our lab, we didn’t use any actual Manduca JH."
"4538","ingroup","outgroup","Roughly 70µL"
"4539","outgroup","outgroup","@ is informal"
"4540","ingroup","outgroup","correct format: t-stat=_, d.f.=_, P=_"
"4541","outgroup","outgroup","Figure 2"
"4542","outgroup","outgroup","Figure 2."
"4543","outgroup","outgroup","informal"
"4544","ingroup","outgroup","refer to correct format in the precious comment"
"4545","ingroup","outgroup","Should have mentioned that you used %change formula to convert your raw absorbance data"
"4546","ingroup","outgroup","Two-sample"
"4547","ingroup","outgroup","You have improved but it is still recipe-style writing. Suggestion: You could open your section by saying that “The slurry/ground mixture of chickweed was centrifuged using (name of the machine we used to centrifuge) at XG, Xrmp, at Xdegrees for Xmins to extract/isolate the chloroplasts. Any debris was removed and the solution was centrifuged again (mention specifications). The pellet was isolated and treated with Hill reaction assay (Table# provided in the supplement) to quantify photosynthesis activity. The absorbances were recorded…”"
"4548","ingroup","ingroup","0.828 ± 0.583And so on throughout the section"
"4549","ingroup","outgroup","Cite your sources correctly. See resource guide."
"4550","outgroup","outgroup","Formalize the language a bit here. This works for a lab notebook but here you should pretend like you are writing a scientific paper."
"4551","outgroup","ingroup","It would be helpful to have a short description of plant resource allocation before you jump right into talking about root:shoot ratios."
"4552","ingroup","ingroup","Report your t-test results correctly, with t-stat, degrees of freedom, and p-value. The p-value is what allows you to conclude whether you have significant differences in your data or not, and this is nowhere to be found. Figure 3 is not meaningful and should not be included in the final."
"4553","outgroup","outgroup","This is not meaningful."
"4554","outgroup","outgroup","This looks like a second hypothesis statement and now I’m confused about which one you are interested in. Are they mutually exclusive? Could both be true? Could this intro be structured better to help me understand them?"
"4555","ingroup","ingroup","Which type of t-test?"
"4556","ingroup","outgroup","Year? All citations need a year. See the resource guide."
"4557","outgroup","ingroup","Be specific. This will confuse your reader with less info about Manduca vs hormones"
"4558","outgroup","ingroup","Insect development has a lot of components. What Specific development is referred here?"
"4559","ingroup","outgroup","The manual we use is not about Cell structure."
"4560","ingroup","ingroup","T-test gives a binary solution. It either significant or not significant. No intermediate."
"4561","ingroup","outgroup","Which one is a t or p-value?"
"4562","outgroup","ingroup","Your focus should have been on change in weight – not the intermediate values."
"4563","outgroup","outgroup","Can you be more clear in this sentence? I get the idea, but it is hard to follow."
"4564","ingroup","ingroup","Can you be more specific than response? That was the amplitude of contraction"
"4565","ingroup","outgroup","Can you use a more scientific term?"
"4566","ingroup","ingroup","Combine figures 2-4 in just one figure. You are showing the same type of data in those figures."
"4567","ingroup","outgroup","Do not write sentences just for the statistical outcome. Check example form last lab."
"4568","ingroup","ingroup","If you combine those figures, you will only need one figure caption"
"4569","outgroup","ingroup","If you generalize since the beginning, you can omit this."
"4570","ingroup","outgroup","RedactionThis is written like an explanation of the result. To include it in this section, you need to write this like an observation of the experiment."
"4571","ingroup","outgroup","Round the numbers"
"4572","ingroup","outgroup","Specify the statistic test for this p-value"
"4573","outgroup","ingroup","This is just repeating information. Maybe you can explain that you stimulate the muscle with those stimuli before and after injection, or just mention that you repeated the stimulation protocol."
"4574","outgroup","ingroup","This is the Abstract, so you should be precise and just focus on the most important information for the experiment."
"4575","outgroup","outgroup","This is the explanation of the result"
"4576","ingroup","ingroup","This observation is an indicator of tetany. You could use this to mention that the muscle experimented tetanus after the injection of caffeine."
"4577","outgroup","ingroup","Was this your hypothesis? How did you measure te flow of Ca++? Your hypothesis should be more focused on the muscle contraction because this is what you studied."
"4578","ingroup","ingroup","You did the same for all the legs, so just generalize."
"4579","outgroup","outgroup","In the future, it would be good to discuss more biological mechanisms like this, and less sources of error"
"4580","ingroup","outgroup","Check the citation format..use square brackets"
"4581","outgroup","ingroup","Need some more discussion of the biological mechanisms here. How does green light affect length?"
"4582","ingroup","outgroup","Need to give the p values here, even for non-significant results"
"4583","ingroup","ingroup","Need to specify that you found the average per pot, and used pot averages in the stats"
"4584","ingroup","ingroup","No need to discuss difference among plants within each pot, because you aren’t showing those raw data"
"4585","outgroup","outgroup","Be specific"
"4586","outgroup","ingroup","Both of these sentences are repetitive of your first sentence here (which is the best way to say that your hypothesis was not supported). Instead, use this space to interpret your data more."
"4587","ingroup","outgroup","Cite your sources (journal articles) correctly. See resource guide"
"4588","outgroup","outgroup","Discuss in terms of resource allocation – what biological mechanism happened or did not happen in your experiment? What factors might account for your results?"
"4589","ingroup","ingroup","Error bars?"
"4590","ingroup","outgroup","Report as mean ± standard deviation"
"4591","ingroup","outgroup","Report results of t-test correctly"
"4592","outgroup","ingroup","To understand this properly, a reader needs to know why the R:S ratio is important, which requires some understanding of resource allocation. You have made great improvements to the intro, but it still needs some information on resource allocation/phenotypic plasticity, to give context for why you measured R:S ratios instead of some other variable on the plant."
"4593","outgroup","ingroup","Could this have just been that leg 3 was more easily fatigued than the other legs?"
"4594","outgroup","ingroup","Tubocurarine is a nicotinic acetylcholine receptor blocker. Because we know that acetylcholine must travel across the synapse and bind receptors, if these receptors are blocked, we expect the signal to not continue from nerve to nerve or nerve to muscle. This is the reason we would expect it a decreased muscle contraction."
"4595","ingroup","ingroup","What abought the width of the stimulus?"
"4596","ingroup","ingroup","You seemed to have found the standard deviation between the 3 different stimulus voltages rather than among the amplitudes you averaged to receive your value at each stimulus voltages. (Ex. I think you found the standard deviation between 0.061, 0.093, and 0.22 in table 2 rather than finding the standard deviation among the 4 readings you averaged to get 0.061. and the 4 readings averaged to get 0.093. and the 4 readings averaged to get 0.22)"
"4597","ingroup","ingroup","Give the specific impact, don’t just say that it exists"
"4598","outgroup","ingroup","While possible, I’m hesitant to say that the marginal increase in soil temp would elicit such a dramatic response."
"4599","ingroup","outgroup","Didn’t notice this the first time around, but you don’t need the et al. in your citations"
"4600","ingroup","outgroup","Nice job with the legend! As a note for future lab reports: in your figure captions you should also include statistical results, and you can also include averages (with standard deviations) for each group"
"4601","outgroup","ingroup","The way you’ve phrased this here almost makes it seem like you have two hypotheses. I would state your facts about the commitment pulse earlier in the intro, then have one cohesive “we predict” statement that states the caterpillars will lose weight because they can’t go through the commitment pulse"
"4602","ingroup","ingroup","Check the units of y-axis. V or mV. I am just surprised that it only changed 0.4mV, that is too small! I think your measurements are in V"
"4603","ingroup","ingroup","It would be nicer if you include this in the Results section"
"4604","ingroup","outgroup","There were not treatment frog legs. The same legs were used for both conditions, so write the report in correspondence with that"
"4605","outgroup","ingroup","This is fine for the Introduction, but in the Abstract you don’t want to explain the whole process. You can just focus on the role of Ca++ in the contraction because that is the goal of your experiment."
"4606","outgroup","ingroup","This sentence only make sense if you mention those applications, but just saying that logical applications have been carried previously, you are not giving new relevant information."
"4607","ingroup","outgroup","You could include the values here like you did in the figure caption"
"4608","outgroup","outgroup","Briefly include some background information that led you to your experimental question"
"4609","ingroup","ingroup","Figure 1 and 2 are the same? I think one was supposed to represent percent change and the other absorbance. I would choose one or the other because they essentially provide the same information regardlessError bars?"
"4610","ingroup","outgroup","If two consecutive sentences have the same citation, cite it once at the end."
"4611","ingroup","ingroup","Look out for plagiarism both in your intro and in your methods. Find other resources and/or make them into your own words to avoid this happening again. Breathe! We’ll fix this."
"4612","outgroup","outgroup","Plagiarized"
"4613","ingroup","outgroup","Punctuation goes after the citation"
"4614","outgroup","outgroup","Relate this back to why this decreases photosynthesis"
"4615","outgroup","ingroup","Save this for the methods section"
"4616","outgroup","outgroup","This or something like this would be great to use as your “bigger picture”"
"4617","outgroup","ingroup","Title should VERY briefly state the main takeaway of your experiment"
"4618","outgroup","outgroup","What is the bigger picture? Why does understanding how salinity affect photosynthesis important?"
"4619","ingroup","ingroup","A paired t-test is more appropriate for your data, as it takes into account the fact that you used the same fish for both treatments."
"4620","outgroup","outgroup","Explain how this worked in the lab a bit more. You may want to consider leading the intro with it, instead of burying it here."
"4621","outgroup","outgroup","What of this is most relevant to your particular study? Keep that, and discard the rest. I know thinking of ways to begin a report can be challenging, so this is a fine start, but I think you can come up with something more compelling. I think the rest of your intro is quite clear and I enjoyed reading it."
"4622","outgroup","ingroup","Good explanation but why? You hypothesized a lessening in the contraction amplitude.  (explain why  in the discussion)"
"4623","ingroup","outgroup","Good, remember no titlesAlso try to make this graph into 4 bars, where you average the controls and treatments for each leg and include error bars."
"4624","ingroup","outgroup","Paired t-test"
"4625","ingroup","outgroup","Stats?"
"4626","outgroup","outgroup","This has all the info but is a lengthy.  Try to shorten this by being less specific."
"4627","outgroup","outgroup","This is a poor first sentence.  Find a better way to bring the reader into your paper."
"4628","ingroup","ingroup","While this IS the proper way to report the results of a t-test, these need to go in the results, not the discussion. The pieces of the lab report must all be in the correct sections."
"4629","outgroup","outgroup","be more specific"
"4630","ingroup","ingroup","citation?"
"4631","outgroup","outgroup","Do not use this language"
"4632","outgroup","outgroup","do not use this work"
"4633","outgroup","outgroup","does not belong in the discussion"
"4634","outgroup","outgroup","grammar"
"4635","outgroup","outgroup","grammar"
"4636","outgroup","ingroup","Maybe have a sentence or two to use this to come up with a likely cellular mechanisms that accounts for your findings"
"4637","outgroup","ingroup","move to method"
"4638","outgroup","ingroup","not necessary, remove throughout the paper – readers will assume you labeled things correctly"
"4639","outgroup","outgroup","not written correctly"
"4640","outgroup","outgroup","remove"
"4641","outgroup","outgroup","reorganize this"
"4642","ingroup","outgroup","storage conditions?"
"4643","outgroup","outgroup","The intro needs to be reorganized and portions need to be clarified"
"4644","ingroup","ingroup","there is probably a citation for this, and why would you want to do this experiment? unclear"
"4645","outgroup","outgroup","this could mean something else.. I would rephrase"
"4646","outgroup","outgroup","this is very specific – you should start more broad then narrow"
"4647","outgroup","outgroup","this needs to be focused and condensed"
"4648","ingroup","ingroup","But how much volume was used?"
"4649","ingroup","outgroup","But how? Based on your methods listed below, readers would think you looked at the legs to say “that looked like a twitch.”"
"4650","outgroup","outgroup","But why do you think there was such a difference between what was expected/what was observed?"
"4651","ingroup","ingroup","More information about the stimulus is needed. What was the width of the pulses and how many pulses were used at each voltage?"
"4652","ingroup","ingroup","Simplified, K+ channels open after the acetylcholine is released and causes potassium to flow out and hyperpolarize the cell. This brings the nerve back down and near its resting potential. (In short, the potassium helps the nerve reset)."
"4653","outgroup","outgroup","a"
"4654","ingroup","ingroup","any time you have an average graphed, you will need standard deviation bars. As such, this graph would need a total of 16 standard deviation bars."
"4655","ingroup","outgroup","At 27C"
"4656","ingroup","outgroup","In-text citations should be excluded in the abstract."
"4657","ingroup","ingroup","Is this mass or change in mass?"
"4658","outgroup","ingroup","Make sure to include outside sources in both the introduction and the discussion (Basic criteria)"
"4659","ingroup","outgroup","Roughly 40µL"
"4660","outgroup","outgroup","The word “significant” has a statistical meaning in the sciences. As such, you would only be able to use it if you performed a statistical test to show that they were significantly different."
"4661","outgroup","outgroup","This kind of seems like “the ends justify the means.” You could simply just say no major errors were noted."
"4662","outgroup","outgroup","Focus less on habituation, and more on biological mechanisms…like maybe aggression is based on size moreso than color of opponents?"
"4663","outgroup","ingroup","Give some indication of the results here"
"4664","ingroup","ingroup","Need to summarize the results with just 2 bars, instead of showing the raw data for each individual"
"4665","ingroup","ingroup","This is not primary literature"
"4666","ingroup","ingroup","This is not primary literature. Need to find some references about how color of opponents would affect aggression"
"4667","outgroup","ingroup","In the discussion section, focus on mechanisms like this, about why your treatment had an effect"
"4668","outgroup","ingroup","Need to have a hypothesis in the abstract"
"4669","ingroup","outgroup","No need to re-state this here"
"4670","ingroup","outgroup","Specify “Figure 2”"
"4671","outgroup","outgroup","Start with this inference. No need to re-state all the results in the discussion section"
"4672","ingroup","ingroup","This is not primary, peer-reviewed literature. See me if you need help with finding literature"
"4673","ingroup","outgroup","This section would be much more concise if you said something like “xxx was greater than yyy (p = 0.0015, Figure 1).” Then repeat for each dependent variable"
"4674","outgroup","outgroup","Your conclusion that xxx was higher than yyy should be based on the statistics, not just how the graph looks"
"4675","ingroup","ingroup","Your error bars don’t match the standard deviations reported in the results section. Also should not have a title. See me for help with making graphs."
"4676","ingroup","outgroup","Raw data"
"4677","ingroup","outgroup","Alpha value of 0.05"
"4678","outgroup","outgroup","Be careful only to use scientific language"
"4679","ingroup","ingroup","Be more specific. What was the effect of the treatment?"
"4680","ingroup","outgroup","Equations should be on their own line, but you also don’t need to write out the math for adding roots and shoots."
"4681","ingroup","ingroup","Insignificant difference means that you saw no effective difference in R:S, so your hypothesis can not have been supported"
"4682","outgroup","ingroup","Keep your background info focused on R:S"
"4683","ingroup","outgroup","Make sure you include the specific means and standard deviations"
"4684","ingroup","outgroup","Never include raw data in a lab report, only summary data"
"4685","outgroup","outgroup","No contractions in science writing"
"4686","ingroup","outgroup","Not a confidence interval"
"4687","outgroup","outgroup","Pretend you’re a scientist conducting a study; you wouldn’t refer to your NSF funded study as a lab. This is all meant to be practice to write real science."
"4688","ingroup","outgroup","replicates"
"4689","ingroup","outgroup","Square brackets for citations"
"4690","outgroup","ingroup","Than what? You set this up as a comparison, but didn’t offer an alternative."
"4691","ingroup","outgroup","These are raw data"
"4692","ingroup","outgroup","This is a journal, not an author"
"4693","outgroup","ingroup","This should come before your experimental methods"
"4694","outgroup","outgroup","Unnecessary info"
"4695","ingroup","outgroup","Year?"
"4696","ingroup","outgroup","You just have to say that all plants were exposed to the same env conditions"
"4697","outgroup","ingroup","You never really talk about sand before your hypothesis. Make sure you introduce it as an inferior growing medium."
"4698","ingroup","outgroup","You should not have a title in the body of the figure"
"4699","ingroup","outgroup","You should not include the tables from stat testing"
"4700","outgroup","outgroup","You should not use quotes in scientific writing. Paraphrase the papers you cite in your own words."
"4701","outgroup","ingroup","Don’t state this until the discussion"
"4702","ingroup","outgroup","I would go into just a bit more detail with these methods. It should be enough that a person with basic science skills can repeat your experiment"
"4703","outgroup","ingroup","I would include this at the end of your methods section, but not here"
"4704","outgroup","ingroup","I would relate this sentence more to the study you did. i.e. these results also imply a decrease in gastrocnemius muscle activity with the administration of tubocurarine"
"4705","ingroup","ingroup","Put this in the previous sentence where you say Ach receptor blocker. Also, be sure to mention the amount you injected"
"4706","outgroup","ingroup","This is great! Just be sure to include your hypothesis somewhere in here"
"4707","outgroup","outgroup","This is not super relevant so I wouldn’t include it"
"4708","ingroup","ingroup","Why are we using this organism? Why is it helpful to study?"
"4709","ingroup","ingroup","Combine all these figures 1"
"4710","ingroup","ingroup","Combine all those figures in just 1. You don’t need one figure/ frog leg"
"4711","ingroup","ingroup","Combine the figures of twitch amplitude in one figure also."
