comment,Subject,"Structure, Orient",Locus,Scope,Tone
The metamorphosis is more related to the transition from the larval phase to an adult phase through the pupa stage. ,3. Technical and Scientific,Specific info,,,
"This cannot be visualized in the figure. It’s hard to see those details. Next time, use a better picture",3. Technical and Scientific,Copy Correction,,,
This picture is not the best example to display the results that you mentioned in the figure legend.,3. Technical and Scientific,Specific info,,,
You can omit this,2. Writing Quality,Copy Correction,,,
You could mention that doses used in the present study was low and then recommend the use of a higher doses. ,4. Logic and Thinking,Specific info,,,
"Check y-axis label. Is this weight, or the ratio? ",3. Technical and Scientific,Specific info,,,
How many replicates? How many tails did your t-test have? Why only weight and not length as well? Include both ratios. ,3. Technical and Scientific,Specific info,,,
"I don’t think you mean that this plant explains your findings. You mean that your conclusion is supported by findings from a previous study about this plant, right? ",3. Technical and Scientific,Copy Correction,,,
Like where? Might these regions expand in the future? ,8. No basis to judge,No basis to judge,,,
"Significant difference in what? I think your intro would be improved through a more logical flow. Start big – what’s resource allocation? How is it measured? And then move to salinity, and finally your hypothesis. ",2. Writing Quality,Specific info,,,
"This opening sentence is a little bit convoluted – can you be more specific and direct about what you mean? Are we really interested in ability to maintain homeostasis, or something slightly different?  ",2. Writing Quality,Holistic,,,
"You could test for this in your data – if you really think that this same mechanism is at play in your experiment, test it using the data you collected! It would be interesting to see if you found the same result. ",4. Logic and Thinking,Specific info,,,
"You mentioned salt, then all of these other ions, and then back to salt. This is confusing. Stick with just talking about salinity and its effects on plant resource allocation here in the introduction. You may want to search for another primary source to support your statements. ",4. Logic and Thinking,Specific info,,,
"Generally, only the p-value needs to be reported.",3. Technical and Scientific,General info,,,
I think you guys tested the opposite of this (How mass was affected by JH),3. Technical and Scientific,Specific info,,,
IGR,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
This isn’t necessary as it just explains what error bars show. The exact value for standard deviation wasn’t important within your study and therefore can be left as just an error bar.,3. Technical and Scientific,Specific info,,,
"Again, no need to mention the null",3. Technical and Scientific,Specific info,,,
Cite your figures in your results,3. Technical and Scientific,General info,,,FLAG
Complete sentences,2. Writing Quality,General info,,,
Don’t these data fit your hypothesis? Use this in your discussion!!!!!!!,4. Logic and Thinking,Specific info,,,
Don’t use this word unless you’re talking about statistics,2. Writing Quality,Copy Correction,,,
Just say there was no significant difference,3. Technical and Scientific,Copy Correction,,,
Make sure you mention your alpha,3. Technical and Scientific,Copy Correction,,,
No DOIs,3. Technical and Scientific,General info,,,
Say whether or not it was significant specifically ,3. Technical and Scientific,Specific info,,,
"Solid first effort. You still need practice filtering out impertinent information from that belongs in a lab report. You did a great job of delving into the biology in the introduction, but your discussion section was lacking. Your sentences can be simplified throughout the lab report in order to enhance its clarity.B",12. Narrative Comments,General info,,,
"That’s a mouthful. Break this crazy up into several, simpler sentences. Clarity is key. ",2. Writing Quality,General info,,,
This is verging on methods,2. Writing Quality,Specific info,,,
What was the effect? Be specific.,3. Technical and Scientific,Specific info,,,
"Would increased light induce allocation to the roots or the shoots? Think of it in terms of the chemistry, what’s the limiting reactant for photosynthesis in this scenario?",4. Logic and Thinking,Holistic,,,
You can assume your reader understands statistics; no need to explain the underlying theory.,3. Technical and Scientific,General info,,,
You don’t need to specifically mention that it was your alternative hypothesis; that’s only a statistical technique,2. Writing Quality,Specific info,,,
"You need to focus more on the biological explanation of your results i.e. mycorrhizae’s effect on roots. At least explain why you still think your hypothesis still to be valid despite your results. You also fail to explain why R:S length, but not mass was significant.",4. Logic and Thinking,Specific info,,,
…what is going on with this graph? Where’s the y-axis? Why do the numbers have so many digits? Why are the bars the same for both groups?,3. Technical and Scientific,Specific info,Reflective,Within Report,Neutral
"Hi Caroline, This is very thorough, nice job! There are a few things to change, but nothing that I think would be particularly difficult to do. Take my comments into account and you should do great on the revision. - C",12. Narrative Comments,General info,,,
How much did you use?,3. Technical and Scientific,Copy Correction,,,
I would mention the chemical name as well,3. Technical and Scientific,Copy Correction,,,
"I would say this is pretty obvious at this point, or it will be from your methods, so you don’t really need it. ",2. Writing Quality,Specific info,,,
Include standard deviations with all your averages,3. Technical and Scientific,Copy Correction,,,
Kind of silly to start abbreviating it here and then use the abbreviation one other time,2. Writing Quality,Copy Correction,,,
"pipiens, with an s, please fix this everywhere",Scientific Name,Copy Correction,,,
"So here’s the thing: this graph and caption are fine, but these results are significant, and you don’t really discuss them anywhere else. So you can either exclude it, or talk about it’s significance in your results and discussion, your choice. ",3. Technical and Scientific,Holistic,,,
Still no et al,3. Technical and Scientific,Copy Correction,,,
Thank you for listening to me about the legends these are beautiful ,5. Praise or Concern,Specific info,,,
"you can state this, but then also state that the decrease was not significant given your p-value (and then state the p-value)",3. Technical and Scientific,Specific info,,,
you don’t need the et. al,3. Technical and Scientific,Copy Correction,,,
[Shipley: 2005],3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"As we discussed  this should be unpaired. I’d go ahead and re-do the stats. Please let me know if you have questions about why! Also, why two-tailed?",3. Technical and Scientific,Specific info,,,
Good figure!,5. Praise or Concern,General info,,,
Honestly this was a beautiful abstract.,5. Praise or Concern,General info,,,
I like how you shifted emphasis from photosynthesis to enzymology.,5. Praise or Concern,Specific info,,,
Maybe make the connection to photosynthetic activity/rate more explicit here.,2. Writing Quality,Specific info,,,
Maybe tie this back to reduced kinetics and enzyme denaturation?,4. Logic and Thinking,Specific info,,,
Oh please!!!,5. Praise or Concern,No basis to judge,,,
Please include p-values.,3. Technical and Scientific,Copy Correction,,,
What enzyme specifically?,8. No basis to judge,No basis to judge,,,
"Don’t use quotations, just paraphrase what the paper said.",2. Writing Quality,General info,Directive,Within Report,Neutral
"Grade: 2  TFThank you for the email, I see effort and improvement in both your sister’s and your reports.  ",12. Narrative Comments,General info,,,
How does this help your point? All this says is that absence of JH is needed. Then goes on to say what added JH would do after pupation. This doesn’t say anything about the commitment pulse and JK’s role.,4. Logic and Thinking,Specific info,,,
This caption needs more information. What are the error bars representing?  What were the statists results of this data,3. Technical and Scientific,Specific info,,,
This is inference or reasoning and belongs in the discussion.,1. Basic Criteria,Specific info,,,
This is not necessary to say,2. Writing Quality,Copy Correction,,,
?,3. Technical and Scientific,Pointer,Neutral,Within Report,Neutral
"Change in weight, not average weight",3. Technical and Scientific,Copy Correction,,,
How does methoprene inhibit the growth? ,3. Technical and Scientific,Specific info,,,
What is the connection or citation for this statement?,3. Technical and Scientific,Specific info,,,
How is it affected?,3. Technical and Scientific,Copy Correction,,,
"It is really hard to see this image, next time try to screenshot just the graph and not the whole screen because I can’t really read anything",3. Technical and Scientific,Copy Correction,,,
"So how does this relate to what you are doing, since you are not looking at pupation?",4. Logic and Thinking,Specific info,,,
Were not different,8. No basis to judge,No basis to judge,,,
Are these averaged values? Where are the SD?Figures are strongly recommended,3. Technical and Scientific,Copy Correction,,,
"Hypothesis are neither correct or incorrect. The data support the hypothesis or make you reject it, but that does not mean it was correct or incorrect.",2. Writing Quality,General info,,,
Precision of the results? What is the interpretation pf the p-value? Do not write separate sentences just for the statistic outcome,3. Technical and Scientific,Copy Correction,,,
Standard deviations should be reported with the mean,3. Technical and Scientific,Copy Correction,,,
Statistical test?,3. Technical and Scientific,Specific info,,,
table legends should describe the displayed information in the table. They should be self-explanatory,3. Technical and Scientific,General info,,,
What graph?,3. Technical and Scientific,Copy Correction,,,
You need another source,3. Technical and Scientific,General info,,,
10g,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"Azamax is the brand, azadirachtin is the IGR in it",3. Technical and Scientific,Copy Correction,,,
Careful of sounding like you are ignoring your stats/results,3. Technical and Scientific,General info,,,
"Get more specific, mL and concentrations are necessary",3. Technical and Scientific,Copy Correction,,,
How?,8. No basis to judge,No basis to judge,,,
"No titles on graphs, y-axis needs a label and there are errors with your standard dev bars",3. Technical and Scientific,Specific info,,,
"Since this is small you can report this as p &lt; 0.01, and remember like we talked about in class, this means it is significant",3. Technical and Scientific,Specific info,,,
Standard dev doesn’t mean anything without the average as well,3. Technical and Scientific,Copy Correction,,,
"This is all slightly confusing, try to condense this into one cohesive thought",2. Writing Quality,General info,,,
Use real numbers you got here,3. Technical and Scientific,Specific info,,,
What kind of t-test?,3. Technical and Scientific,Copy Correction,,,
Why would you get a change in weight with the azamax? How is Ecdysterone related to weight?,4. Logic and Thinking,Holistic,,,
You don’t need this table if you have the graph,3. Technical and Scientific,Specific info,,,
"You report p-value, tstat and df",3. Technical and Scientific,Copy Correction,,,
"You should make the abstract sound like an overview of your paper, that means gives some background on the subject as well",2. Writing Quality,General info,,,
"Grade: 3  TFGood job, just made a few mistakes with your table and captions.",12. Narrative Comments,General info,,,
"Also, your captions should read like this: “Table 1: Results and values of…”“Figure 1:  Average weight of control group…”",3. Technical and Scientific,Copy Correction,,,
"Remember that tables are not figures, so you would say Table 1:… and Table 2:… rather than figure1 and 2.",3. Technical and Scientific,Copy Correction,,,
This table shows data that is better provided as a sentence in your results section.,3. Technical and Scientific,Specific info,,,
What is this?  ,8. No basis to judge,No basis to judge,,,
Can you be more specific? Used chemical,2. Writing Quality,Specific info,,,
Consider switching the axis. y-axis: Dependent variablex-axis: independent variableit will make the graph easier to understand,3. Technical and Scientific,Specific info,,,
Do not use a table just for the statistical output,3. Technical and Scientific,Copy Correction,,,
Is this a conclusion?,4. Logic and Thinking,General info,,,
Reference the figuresReport mean and SD for each treatmentStatistical results,3. Technical and Scientific,General info,,,
This is raw data. Do not include raw data in the lab report,3. Technical and Scientific,General info,,,
Don’t forget units on your x-axis,3. Technical and Scientific,Copy Correction,,,
"Hi Christian, Overall this is a really great report! You definitely hit most of the points I was looking for. There are a few flaws/things to change for the revision, but take my comments into account and you should have no problem improving your grade. - C",12. Narrative Comments,General info,,,
I’m pretty sure it was 1:1250,3. Technical and Scientific,Copy Correction,,,
Just use the first author’s last name,3. Technical and Scientific,Copy Correction,,,
Mention here that the commitment pulse signals that it is ready to pupate and go to the next life cycle stage,2. Writing Quality,Specific info,,,
"Overall, excellent discussion!",5. Praise or Concern,General info,,,
"Same here, just state T2 and T3 did not follow the predicted trend",3. Technical and Scientific,Copy Correction,,,
This title is still a little long. I would say just start with the word Precor and get rid of what’s before it,2. Writing Quality,Specific info,,,
"Also, be sure to reiterate your statistical results in your caption for Figure 1. ",3. Technical and Scientific,Copy Correction,,,
"Your graphs do not need titles, because that’s what figure captions are for. ",3. Technical and Scientific,Copy Correction,,,
"Your hypothesis cannot be supported for some treatment organisms, it’s an all or nothing situation. You can state that the trend of these two caterpillars is more in line with what you predicted however",4. Logic and Thinking,Specific info,,,
Chemical might be accurate. Ecdysone is the hormone. ,3. Technical and Scientific,Copy Correction,,,
"Cite as [Champlin: 1999], first author name only",3. Technical and Scientific,Copy Correction,,,FLAG
supported,2. Writing Quality,Copy Correction,,,
"This is a great discussion, but you need primary literature citations in both your intro AND your discussion to meet the basic criteria. Because the rest of this report is very good, I am giving you a warning and a “needs major improvements” instead of failing you so that you can still improve on the revision. Please remember that your discussion needs to place your results in the context of other studies in the field and compare/contrast. ",11. FLAG,,,,
"Typically, you do not need citations in your abstract because anything specific enough to need a citation is probably too detailed for the abstract. ",2. Writing Quality,Holistic,,,
What statistical test did you run?,3. Technical and Scientific,Specific info,,,
"You need to refer to ALL figures within the text of the paper (usually in the results, sometimes also in the discussion or other sections). Don’t include a figure here that you don’t talk about in the text (but this is a good figure, so talk about it in the text, don’t delete it!)",3. Technical and Scientific,Specific info,,,
"You should mention your p-value in the results, even though you will wait to talk about what its significance actually means until the discussion",1. Basic Criteria,Specific info,,,
…what does this mean?,2. Writing Quality,No basis to judge,Corrective,Within Report,Neutral
Also include that you injected 0.1 ml,3. Technical and Scientific,Copy Correction,Corrective,Within Report,
"For future figure legends, you should have a general description of the trend of the data, the sample size of each group, averages with sds, and your statistics",3. Technical and Scientific,General info,,,
"Hi Tony, So generally this is improved overall, but there are still some things to fix. Mainly, I still don’t see any statistics, so I have to keep your grade at a C for this revision. ",12. Narrative Comments,General info,,,
"Once again, statistics are need to really confirm or reject a hypothesis",3. Technical and Scientific,Specific info,,,
Should’ve been a paired t-test,3. Technical and Scientific,Copy Correction,,,
"The bottle was Ringer’s solution, not acetylcholine",3. Technical and Scientific,Copy Correction,,,
The first sentence should be a general statement about the neuromuscular system,2. Writing Quality,Specific info,,,
What statistical test did you use,3. Technical and Scientific,Specific info,,,
You need statistics to say this,3. Technical and Scientific,Specific info,,,
You need to include your hypothesis and whether or not it was supported in the abstract,2. Writing Quality,Specific info,,,
Avoid talking about the null hypothesis – you can just state the latter part of this sentence by itself,2. Writing Quality,Specific info,,,
"Because these bars are averages, each bar needs standard deviations",3. Technical and Scientific,Specific info,,,
Better! Just note for next time that this is typically something that goes in an intro ,2. Writing Quality,Specific info,,,
"Hi Cameron, This is an awesome discussion, and a very well-written paper. There are still a few tweaks to be made, but you were really very thorough. Nice job! - A",12. Narrative Comments,General info,,,
line,2. Writing Quality,Copy Correction,,,
"Be more specific with your hypothesis. What specifically do you expect will happen in the Manduca when Azamax is introduced? Increasd mass, decreased mass, etc. Within your abstract, you mentioned that a previous study showed ecdysterone blockers inhibited growth. I would cite this within your introduction and use it to hypothesize that Azamax would lead to decreased mass.",4. Logic and Thinking,Specific info,,,
Can you expand on the role of ecdysterone in Manduca?,2. Writing Quality,Specific info,,,
"I would say “support” there’s always some level of uncertainty involved in science (for example, p=.04 would still mean there’s a 4% chance it was due to chance). As such, we generally avoid certain words in sciences such as “prove” or “correct.”",2. Writing Quality,Holistic,,,
Missing outside sources (Basic Criteria),1. Basic Criteria,General info,Corrective,Within Report,Neutral
Still missing error bars,3. Technical and Scientific,Copy Correction,,,
Cool ,5. Praise or Concern,No basis to judge,,,
Great abstract,5. Praise or Concern,General info,,,
"I know it seems silly, but you should specifically say that the difference was not significant. ",3. Technical and Scientific,Copy Correction,,,
Keep tense consistent,2. Writing Quality,General info,,,
No need to include a separate statistics table. This information can be found in the figure captions and in the results.,3. Technical and Scientific,Specific info,,,
This sentence should come after you first introduce the treatment. End the intro with your hypothesis,2. Writing Quality,Specific info,,,
"This will be an awesome first lab report with some minor tweaking. Your introduction could be slightly reorganized in order to improve its logical flow. There are also some extraneous details in your methods. With some quick fixes, this will be stellarB",12. Narrative Comments,General info,,,
You don’t need to talk about using excel and you do not need to explain your graphing methods. Error bar explanation should go in the figure caption.,3. Technical and Scientific,Specific info,,,
"Don’t write the whole title you don’t need it, the next sentence is enough",2. Writing Quality,Specific info,,,
Find a different way to phrase this so it is more concise,2. Writing Quality,General info,,,
How much distilled water?,3. Technical and Scientific,Copy Correction,,,
The stats say that your hypothesis is not supported,3. Technical and Scientific,Specific info,,,
What do you mean by quickly?,8. No basis to judge,No basis to judge,,,
You don’t need to quote primary literature,2. Writing Quality,General info,Corrective,Within Report,Neutral
You mention this in the methods so you shouldn’t have to mention it here.,2. Writing Quality,Copy Correction,,,
You need standard deviations along with these averages,3. Technical and Scientific,Copy Correction,,,
"You only need this figure, you don’t necessarily need the other one. Figures should not have titles and you should not have average weigh of caterpillar as a y-axis, think about what you are actually measuring.",3. Technical and Scientific,Specific info,,,
Can you be more specific? Mention the physiological process of interest in this experiment.,2. Writing Quality,Specific info,,,
"Eclosion is a term more used in a different context. For example, the eggs eclosion and the adult eclosion from the pupa.  ",3. Technical and Scientific,Holistic,,,
"Four, you are missing the egg phase",3. Technical and Scientific,Copy Correction,,,
Is Precor a hormone or a chemical that mimics the hormone? You can also called a synthetic hormone. ,3. Technical and Scientific,Copy Correction,,,
"Manduca sexta caterpillar or caterpillar of Manduca sextaManduca is part of the scientific name, not the common name",Scientific Name,Copy Correction,,,
Not necessary,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Pupal stage.,3. Technical and Scientific,Copy Correction,,,
"This is for the results, not the figure legend",3. Technical and Scientific,Specific info,,,
This is not necessary in the figure legend.,3. Technical and Scientific,Copy Correction,,,
This looks like an explanation for the result obtained. That could be part of the discussion. ,1. Basic Criteria,Specific info,,,
Write the methods in past tense,2. Writing Quality,General info,,,
You could include information about how the JH controls the transition to the pupa stage. That will help for a better understanding of your hypothesis. ,4. Logic and Thinking,Specific info,,,
Didn’t you say the –value was 0.256 in the results section?,3. Technical and Scientific,Specific info,,,
I would include the number of pulses and the width as well (how long the stimulus was given).,3. Technical and Scientific,Copy Correction,,,
I would try to find the normal function of potassium in nerve cells (Hint: It should lead you to think about why the relaxation phase may change with the blocker).,4. Logic and Thinking,Specific info,,,
Make sure to include the volume and concentration of blocker used.,3. Technical and Scientific,Copy Correction,,,
Paired t-test,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Try to include any trends you may have noticed.I would include a sentence or 2 about the role of potassium in normal neuromuscular function.What was your initial hypothesis?,3. Technical and Scientific,Specific info,,,
Try to mention the setup itself.,3. Technical and Scientific,Specific info,,,
What do you think may have caused the difference in what you expected the blocker to do and what actually happened. Do you have any recommendations for if the experiment was repeated?,4. Logic and Thinking,Specific info,,,
Chemical signaling via Hormones in what? What organism?,2. Writing Quality,Specific info,,,
Don’t need this,2. Writing Quality,Copy Correction,,,
Don’t need this but should include this in paragraph form in your results. Same with the Weight one.,2. Writing Quality,Copy Correction,,,
"Grade: 2  TFGood job, just needs some work.",12. Narrative Comments,General info,,,
Change this sentence into one that talks about the effect of JH on the m. sexta and how that matches the results.,2. Writing Quality,Specific info,,,
Include the p value in the previous sentence at the end inside parentheses.,3. Technical and Scientific,Copy Correction,,,
"These figure captions need a lot more meat on their bones.  They should have tell me almost everything about the figure: what it shows, the legend, the error bar values, and the statistics associated with the data you are showing.",3. Technical and Scientific,Specific info,,,
"This is all raw data. There is nothing wrong with recording their coloration and presenting that, but listing all of this information when you only reference one part of it renders it raw data which only belongs in your notebook.",3. Technical and Scientific,General info,,,
"You do not need quotations, just paraphrase the passage. Also for the intext citation you need (author, Year published)",3. Technical and Scientific,Copy Correction,,,
You don’t need this,2. Writing Quality,Copy Correction,,,
You don’t need this.,2. Writing Quality,Copy Correction,,,
You need to expand on why more JH would cause this.,4. Logic and Thinking,Specific info,,,
A little redundant but you make a good point.  ,2. Writing Quality,General info,,,
Dont have this as its own sentence but rather as if its an in-text citation at the end of the last sentence in the figure caption.,2. Writing Quality,Copy Correction,,,
"Grade: 3  TFGood job Anuja, just have some small mistakes.",12. Narrative Comments,General info,,,
Should move this sentence before your biological conclusion sentence.,2. Writing Quality,Specific info,,,
"This statement lacks important information like the units, and of what averaged values these standard deviations were calculated.",3. Technical and Scientific,Specific info,,,
"The statistics should support the data, is a tool to determine if the difference observed between groups are by chance or not. However, statistic is not the core of the results, so don’t focus your abstract on that. ",3. Technical and Scientific,Specific info,Directive,Within Report,
What is this in the moth life cycle?,3. Technical and Scientific,Specific info,,,
Average length,3. Technical and Scientific,Specific info,,,
Citation formatting,3. Technical and Scientific,Copy Correction,Corrective,Within Report,FLAG
Did the standard deviation is the same for both groups? ,3. Technical and Scientific,Copy Correction,,,
Did you mean the timing of the molt?,2. Writing Quality,Copy Correction,,,
Do not copy exactly the same sentence for the results displayed in figure 2. You can explain these observations using other words. Avoid repetitions of words and phrases. ,2. Writing Quality,Copy Correction,,,
Eight. Do not use numbers at the beginning of the sentence,2. Writing Quality,Copy Correction,,,
"His is a scientific article and this is not the correct citation formatting. Check this in the BioCore Guide, page 49 ",3. Technical and Scientific,Copy Correction,,,
"Is this the name of the experiment? Did they call it like that? Otherwise, avoid giving names to the experiments. ",2. Writing Quality,General info,,,
"Is this the purpose of the graph, to compare them easily? ",3. Technical and Scientific,Holistic,,,
Manduca sexta,Scientific Name,Copy Correction,,,
Not significant. That is different from insignificant. ,2. Writing Quality,Copy Correction,,,
Similar to what? This is unnecessary because you will mention the hypothesis in the next sentence.,2. Writing Quality,Copy Correction,,,
The p-value=0.195. That is not significant. ,3. Technical and Scientific,Copy Correction,,,
This is not an explanation for the obtained results. Can you think in a more plausible explanation for the lack of effect of JH in the growth of Manduca sexta?  ,4. Logic and Thinking,Specific info,,,
What does this mean? Did you find other factors decreasing the growth of the caterpillars? You cannot make a conclusion like that one.,4. Logic and Thinking,Specific info,,,
Why? The relevance of your results for the insecticides market is not very clear.,4. Logic and Thinking,Holistic,,,
y-axis,3. Technical and Scientific,No basis to judge,,,
You don’t need to specify this. It’s known that you will obtain the p-value after you run the t-test.,3. Technical and Scientific,Copy Correction,,,
"You should look if your data support the hypothesis, not previous studies. ",4. Logic and Thinking,General info,,,
Can you be more precise?,2. Writing Quality,Copy Correction,,,
Check the correct format to report the results. ,3. Technical and Scientific,General info,,,
Error bars,3. Technical and Scientific,Copy Correction,,,
Missing some background informationBrief description of the main observations. ,8. No basis to judge,No basis to judge,,,
Not necessary,2. Writing Quality,Copy Correction,Corrective,Within Report,Neutral
Statistics!,3. Technical and Scientific,General info,,,
This graph is repeated,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
This is not the figure legend.Give details. Figure captions are self-explanatory,3. Technical and Scientific,General info,,,
"Hi Cristian, Excellent job! You corrected every comment I made, which is greatly appreciated. You definitely did enough to improve your grade, nice! - A",12. Narrative Comments,General info,,,
"If you’re going to reference authors’ names, you generally include the citation again at the end of the sentence, even if you’ve already cited it previously. ",3. Technical and Scientific,Copy Correction,,,
Are you sure? They are a pest during the larval phase.,3. Technical and Scientific,Specific info,,,
Is this really necessary?,3. Technical and Scientific,Copy Correction,,,
Length?,3. Technical and Scientific,Copy Correction,,,
"Save this statement for the discussion. In the abstract you could mention just the main explanation of your results, do it like a conclusion.   ",2. Writing Quality,Specific info,,,
"This is contradictory, there are not adult caterpillars. Those are different stages. You could specify the larval instar.",3. Technical and Scientific,Copy Correction,,,
"This is not very relevant for the experiment. Nonetheless, it’s a good idea to mention the advantages of the studied animal, but maybe this has more sense after you mention the goal of the experiment. ",3. Technical and Scientific,Specific info,,,
Why maturation? It will grow to a 6th larval instar.,3. Technical and Scientific,Specific info,,,
You could omit this,2. Writing Quality,Copy Correction,,,
"Hi Ben, So this report needs a bit of work. Most notably, you’re missing primary literature citations from scientific articles, and statistics. If you need help running the statistics let me know. I have to fail you this time around, but take my comments into account to improve your grade for the revision. ",12. Narrative Comments,General info,,,FLAG
"Include one sentence about how juvenile hormone normally behaves in Manduca, include your hypothesis, and then state if your hypothesis was supported or rejected at the end",2. Writing Quality,Specific info,,,
"Precor isn’t a concentration, it’s just a type of chemical that mimics JH function",3. Technical and Scientific,Copy Correction,,,
"Second, your graphs don’t need titles, because whatever is in the title will be in your figure caption. ",3. Technical and Scientific,Copy Correction,,,
"Several things: your graphs and tables represent the same thing, so I would just have the graphs and get rid of the tables. ",3. Technical and Scientific,Specific info,,,
"Third, since you have pictures of your setup, they should be referenced somewhere in the paper (generally in the methods section)",3. Technical and Scientific,Copy Correction,,,
So did you not run a statistical test? You should’ve done a two sample t-test to determine if the difference in weights between your two groups was significant,3. Technical and Scientific,Specific info,,,
This needs a citation,3. Technical and Scientific,Specific info,,,
This sentence is not super relevant ,2. Writing Quality,Copy Correction,,,
What statistical test did you run?,3. Technical and Scientific,Specific info,,,
What was the concentration?,3. Technical and Scientific,Copy Correction,,,
You also need primary literature in your discussion section ,1. Basic Criteria,General info,,,
Your introduction needs to have primary literature citations,1. Basic Criteria,General info,,,
?,3. Technical and Scientific,Copy Correction,Neutral,Within Report,Neutral
2% water agar,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"Agar and Water amounts remain constant throughout your control and treatment plates. For treatment group, you added 4ml of 20x test compound solution on top of it.",3. Technical and Scientific,Specific info,,,
"Also, maybe it did grow toward food at the beginning but changed direction later.. the traces could actually be revealed against a light source..",3. Technical and Scientific,Specific info,,,
Define group 1 and group 2,3. Technical and Scientific,Specific info,,,
"Format: t-stat=_, d.f.=_, p=_",3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Have you looked up other studies on this test compound to find their concentration?,3. Technical and Scientific,Specific info,,,
How id you determine the sig?,3. Technical and Scientific,Copy Correction,,,
if,2. Writing Quality,Copy Correction,,,
Include the molarity and name of the inhibitor,3. Technical and Scientific,Copy Correction,,,
Include university name as well in this case,2. Writing Quality,Copy Correction,,,
These statements are more suitable for figure caption,3. Technical and Scientific,Specific info,,,
This statement could go in figure caption instead,3. Technical and Scientific,Specific info,,,
What is the recommended incubation period?,3. Technical and Scientific,Specific info,,,
You could actually incorporate much of this info either in your reagent table or providing a figure in the supplement. ,3. Technical and Scientific,Specific info,,,
You mean figure 2?,3. Technical and Scientific,Copy Correction,,,
you need to justify it by backing it up with primary lit,3. Technical and Scientific,Specific info,,,
Consult and resource guide and primary literature to see what goes into a figure caption and how they look generally,3. Technical and Scientific,General info,,,
Dilution? Concentration?,3. Technical and Scientific,Copy Correction,,,
Incubator,2. Writing Quality,Copy Correction,,,
Into?,8. No basis to judge,No basis to judge,,,
"Maybe I got the wrong version, but this should be the chart we worked on, not this table. ",3. Technical and Scientific,Specific info,,,
Once again why will this happen? How? What did Kingsolver do in their experiment?,4. Logic and Thinking,Specific info,,,
Report your df and t-stat as well,3. Technical and Scientific,Copy Correction,,,
That’s the brand but not the actual IGR,3. Technical and Scientific,Copy Correction,,,
This needs to be the last sentence.,2. Writing Quality,Specific info,,,
What are the means and standard devs? State those here,3. Technical and Scientific,Copy Correction,,,
What are these?,8. No basis to judge,No basis to judge,,,
"What effect does this have on weight? Why are you drawing these conclusions, flesh that out",4. Logic and Thinking,Holistic,,,
What happened here?,8. No basis to judge,No basis to judge,,,
"You don’t need to get this specific, make sure they can do the experiment but they don’t have to do everything exactly as you did.",3. Technical and Scientific,General info,,,
You shouldn’t reference another experiment if you are talking about your own here,4. Logic and Thinking,Specific info,,,
8-May,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
?,2. Writing Quality,Pointer,Neutral,Within Report,Neutral
Are you sure about this statement? Does this happen in normal conditions?,4. Logic and Thinking,Holistic,,,
Can you be more specific? Mention the physiological process that was studied.,2. Writing Quality,Specific info,,,
Can you elaborate more the figure legend? Remember that the captions should be self-explanatory. What is the treatment? Is this the total change in mass after eight days of treatment?   ,3. Technical and Scientific,Specific info,,,
Citations in the discussion? ,1. Basic Criteria,General info,,,
"Did you convert those values for the analysis? Then, probably this is not affecting your data too much. I agree this was an error in the measurement procedure, but probably it does not explain the results. What do you think about the used doses? It might be low",3. Technical and Scientific,Specific info,,,
Is this relevant for your experiment? You can focus only in the background information that is important to understand your experiment. ,2. Writing Quality,General info,,,
Same comments than before,8. No basis to judge,No basis to judge,,,
This is unnecessary if you also include the citation at the end of the sentence,3. Technical and Scientific,Copy Correction,,,
This is unnecessaryIn the discussion you just need to briefly mention the result again and give some possible interpretations and explanations to those observations. ,4. Logic and Thinking,General info,,,
What is the main message with this idea? That information is already mentioned in the previous sentence.,2. Writing Quality,Copy Correction,,,
Write the methods in past tense,2. Writing Quality,General info,,,
"You already mentioned this. Avoid repeating informationAdditionally, why do you think this could be better? You can specify that.",2. Writing Quality,Copy Correction,,,
You can incorporate the statistical outcome at the end of the sentence describing the averaged mass for each group. Statistics will determine if those difference were by chance or not. It is unnecessary to write a whole sentence just for the statistical outcome. Check in the annotation exercise how to report statistics in the results.,3. Technical and Scientific,General info,,,
You can reconsider the order of the ideas in the Abstract. You are missing information about the results. Remember that the abstract could include information from all the lab report sections ,2. Writing Quality,Specific info,,,
You might reference the figures in this section. The reader can visualize the described result in the figure,3. Technical and Scientific,General info,,,
"First you told me that your hypothesis was not supported, but here you say that the null hypothesis was rejected. Which is true? Review these concepts, if necessary. ",3. Technical and Scientific,Specific info,,,
"How many tails?You didn’t test whether the experiment was statistically significant, you were looking for significant difference between the average R:S ratios of your two groups of plants. ",3. Technical and Scientific,Copy Correction,,,
"Pretend like you are writing a scientific journal article, so avoid phrases like, “in this lab.” ",2. Writing Quality,Holistic,,,
