comment,Subject,"Structure, Orient",Locus,Scope,Tone
"Figure captions should be self-sufficient, you could specify the studied species and he size of your samples. ",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
How did you measure those phases in the myogram? Definition of each phase ,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"In the axon, most of the Ca++ entering the cell is extracellular. In the muscle, Ca++ ions come from the sarcoplasmic reticulum",3. Technical and Scientific,Specific info,Explanatory,Within Report,Neutral
Just focus on the biological explanations of the results. ,3. Technical and Scientific,General info,Directive,Within Report,Neutral
There were not control and test groups,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
This is not the proper way to report statistical results,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
This is unnecessary. Focus on the biological explanations. (Discussion),4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
"This is very general. You can be more specific, emphasizing the studied contractile phase",2. Writing Quality,Specific info,Directive,Within Report,Neutral
This process also requires Ca++. What happen in the muscle after ACh binds the receptor? ,3. Technical and Scientific,Holistic,Reflective,Within Report,Neutral
This requires a citation,2. Writing Quality,Specific info,Corrective,Within Report,Neutral
What are these settings? The stimuli properties,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
What did you do again to measure twitch duration and relaxation period? The muscle was stimulated after the injection. ,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
What is the effect of TEA? That is necessary to understand the hypothesis,3. Technical and Scientific,Holistic,Reflective,Within Report,Neutral
"What is the stimuli to open Ca++ channels, the arrival of an AP or the opening of K+ channels? You should be precise.",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Where is the repolarization occurring? You didn’t mention the repolarization in the muscle. ,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
"Again, this should be percent change—not absorbance—plotted if you want to report percent change values in your results section. You don’t need to include the blank, but all of these data points should have individual error bars since you had replicates.",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
By what? (Clarification in introduction),2. Writing Quality,Specific info,Reflective,Within Report,Neutral
"Did you exclude this data point? If so, I need Q-test results.",11. FLAG,Idiomatic,Corrective,Within Report,FLAG
Good intro with solid support! ,5. Praise or Concern,Specific info,Explanatory,Within Report,Positive
"I would add bio background info, as well as reorganize this a bit.",2. Writing Quality,Specific info,Directive,Within Report,Neutral
"Your hypothesis should be towards the end, and try to embed your (in)dependent variables in there as well.",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"Good, succinct abstract!",5. Praise or Concern,Specific info,Explanatory,Within Report,Positive
Good.,5. Praise or Concern,No basis to judge,Explanatory,Within Report,Positive
I’d give a bit of background information on the light-dependent reactions of photosynthesis before you introduce Atrazine.,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
"If you are reporting percent change analyses here, that should be represented in your figure (which should be referenced in this section) as well. ",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
Interesting.,5. Praise or Concern,No basis to judge,Explanatory,Within Report,Positive
No tables! Word these results in your results section.,3. Technical and Scientific,Specific info,Directive,Within Report,Negative-no warning
One of the very first things you need in your discussion was a statement relaying whether or not your hypothesis was supported.,1. Basic Criteria,Specific info,Corrective,Within Report,Neutral
Please refer to the BioCore Resource Guide to format your in-text citations.,3. Technical and Scientific,General info,Explanatory,Within Report,Neutral
Really good methods section!,5. Praise or Concern,General info,,Within Report,Positive
So maybe we don’t have as robust a protocol for chloroplast extraction for kale as we do spinach?,3. Technical and Scientific,Holistic,Reflective,Within Report,Neutral
"So…this isn’t a bad title at all, but you do want something that’s going to make people want to read your paper, and inconclusive isn’t enticing. ",2. Writing Quality,Specific info,Explanatory,Within Report,Positive
The figure legend should tell me what I’m supposed to get out of this figure.,3. Technical and Scientific,General info,Directive,Within Report,Neutral
"This section needs a lot of work and reads incomplete. If you have questions about what goes in the discussion, please let me know!",2. Writing Quality,Specific info,Directive,Within Report,Negative-reasonable
"We never prove things, no matter how hard we try…",2. Writing Quality,General info,Explanatory,Within Report,FLAG
What clear errors?,3. Technical and Scientific,Specific info,Reflective,Within Report,Neutral
What kind? (Un)paired? Tails? Let me know before you submit the revision so I can catch you if you make a mistake.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Why? (Color!),3. Technical and Scientific,No basis to judge,Directive,Within Report,Neutral
"You took % change of the average absorbances first, right? So that goes first!",3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"any time you have an average graphed, you will need standard deviation bars (The standard deviation error bar option on excel doesn’t work properly, take a look at the resource guide or email me to learn how to add it properly). For this graph, as you averaged 7 times for experimental and 7 for control, you would need 14 total standard deviation bars.",3. Technical and Scientific,Specific info,Explanatory,Within Report,Neutral
"As you’re more interested in the total difference in mass rather than the change for each day, you could use a bar graph showing the difference between final/initial mass (Your current graph works too but, you will want to quantify the difference in growth in some way).",3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
Azamax works as an Ecdysterone blocker,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
"By definition, an IGR inhibits the insect’s regular life cycle.",11. FLAG,Specific info,Corrective,Within Report,FLAG
"I would say what you used instead (Azamax, IGR, or exdysterone blocker)",3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"In both the introduction and discussion, you listed a lot of the effects of JH as an attribute of ecdysterone. I would recommend looking again at the role of ecdysterone in the Manduca’s normal life cycle.",3. Technical and Scientific,Holistic,Reflective,Within Report,Neutral
Missing outside sources (Basic Criteria),1. Basic Criteria,General info,Corrective,Within Report,Neutral
Roughly 40µL,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
This doesn’t seem to have much to do with the rest of your paper.,4. Logic and Thinking,General info,Directive,Within Report,Neutral
This is an interpretation. This should be in the discussion (Organizational flaw. Basic Criteria),1. Basic Criteria,Specific info,Corrective,Within Report,Neutral
You may have ecdysterone confused with JH.,3. Technical and Scientific,Specific info,Corrective,Within Report,Neutral
Good,5. Praise or Concern,No basis to judge,Explanatory,Within Report,Positive
Grade: 3Good job on the corrections but there are still some mistakes here and there.  ,12. Narrative Comments,General info,Directive,Beyond Report,Positive
Having just one standard deviation value for two sets of data doesn’t make sense numerically.,3. Technical and Scientific,Copy Correction,Explanatory,Within Report,Neutral
How much of this was injected into the leg?,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
What about the standard deviation of this one.,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"Careful in the future about getting too methody, this is right on the edge, keep it kind of vague in the intro",2. Writing Quality,Specific info,Corrective,Within Report,FLAG
Citation format needs to be fixed,3. Technical and Scientific,Copy Correction,Corrective,Within Report,FLAG
"So this is the t-stat, it is more important to have a p-value in here",3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
State the p-value as p < 0.01,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
Still need to see the standard deviations,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"This is still methods, doesn’t need to be in a figure caption",3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
This needs to be in mL,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
10 g,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"According to this, JH profile will present peaks of secretion just before each molting. Is that in correspondence with the information in your lab manual and the lectures? Remember that both hormones (ecdysone and JH) do not have the same pattern of secretion. ",3. Technical and Scientific,Holistic,Reflective,Within Report,Neutral
"Are these questions different or are you asking the same twice? Please, avoid repeating information. ",2. Writing Quality,Specific info,Directive,Within Report,Neutral
Can you be more precise than around 9g? Can you use descriptive statistic (mean and SD) for this?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
Can you be more precise with the title? It is ambiguous,2. Writing Quality,Specific info,Directive,Within Report,Neutral
Can you specify the statistical test used?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
"Citations format. This should be the Journal name, the number and pages Ex: Journal of Experimental Biology. 61: 481-491 ",3. Technical and Scientific,Copy Correction,Corrective,Within Report,FLAG
Did you consider using this information to support the first portion of your results? ,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
Do not assume that you did it wrong and avoid speculating about possible errors.,4. Logic and Thinking,General info,Directive,Within Report,Neutral
Do not quote other papers,2. Writing Quality,General info,Corrective,Within Report,Neutral
Do you think is necessary to explain this or is something you need to know to conduct the analysis?,3. Technical and Scientific,Holistic,Directive,Within Report,Neutral
Format for in-text citation.Ex: … was conducted by Nijhout and Williams [1974].,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
How can you say that the species is good for this specific experiment if you didn’t mention the experiment yet? Consider the order of your ideas.,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
How can you support this statement? Statistical outcome! You could also refer to Table 1 here.,3. Technical and Scientific,Specific info,Explanatory,Within Report,Neutral
"In general, avoid writing in first person. Impersonal writing using passive voice is more recommended in your lab reports.",2. Writing Quality,General info,Directive,Within Report,Neutral
"In the discussion you should interpret your results based on previous studies, without analyzing the significance of those studies. ",4. Logic and Thinking,Specific info,Corrective,Within Report,Neutral
"This study, didn’t affect the same hormone than you, so their findings are not the best explanation for your findings. ",4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
"Although you can mention that previous researchers found similar results than you by affecting the secretion of JH instead, I will recommend you look for another source. ",4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
"Is this information necessary in the Introduction? Your la report should include the biological hypothesis, but these are the null and alternative hypothesis for the statistical analysis. Are those the same? Check the BioCore Guide for the differences between biological and statistical hypothesis",2. Writing Quality,Specific info,Explanatory,Within Report,Neutral
Is this necessary?,2. Writing Quality,Copy Correction,Directive,Within Report,Neutral
Same problem with the Standard deviation,8. No basis to judge,No basis to judge,Corrective,Within Report,Neutral
The abstract should be more about your results and the home message of your own experiment. Save the results from other studies for the discussion.,2. Writing Quality,Specific info,Directive,Within Report,Neutral
Standard deviations are the same. Check the excel tutorial (BioCore Guide/ Displaying data/ Graphs) to learn how to specify the standard deviation values for each group (Control and Experimental),3. Technical and Scientific,General info,Explanatory,Within Report,Neutral
Use numbers with units. Ex: 9 g,3. Technical and Scientific,General info,Corrective,Within Report,Neutral
Where are the physical observations that you mentioned I the methods? That should be part of the results because those were direct observations of the animals.,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
"Work on this statement, you can be more specific with the first portion of your sentence.",2. Writing Quality,Copy Correction,Directive,Within Report,Neutral
You already mentioned this information,2. Writing Quality,Copy Correction,Directive,Within Report,Neutral
Be specific. What was the effect?,3. Technical and Scientific,Specific info,Directive,Within Report,Neutral
Can you really conclude that there is no change? What if something just went wrong? There’s a lot of literature out there stating the opposite… ,4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral
"Also, what does this mean for agriculture? You mentioned it in the introduction, so you should mention it again the discussion. ",4. Logic and Thinking,Holistic,Reflective,Within Report,Neutral
"Great caption, nice figure.",5. Praise or Concern,General info,Explanatory,Within Report,Positive
Make sure you mention the alpha value,3. Technical and Scientific,Copy Correction,Corrective,Within Report,Neutral
"Not necessarily. There’s plenty of water in the rainforest and sunlight in the desert. What’s important for plant allocation is the distribution of resource scarcity, not the scarcity itself. ",3. Technical and Scientific,Specific info,Reflective,Within Report,Neutral
"OVERALLOlivia, your introduction, methods, and results section were all very solid. The intro does need to be reorganized to improve the clarity of your reasoning, but it is otherwise very solid. Unfortunately, you fell off the rails a bit in the discussion You need to expand upon your points and support your claims with primary literature (a basic criterion). F",12. Narrative Comments,Specific info,Directive,Within Report,FLAG
"This is a good point, but it belongs earlier in the paragraph. I would use this as a justification for investigating the effects of wavelength on allocation strategy. ",2. Writing Quality,Specific info,Directive,Within Report,Neutral
Which functions? Be specific and use some primary literature to support your points. ,4. Logic and Thinking,Specific info,Directive,Within Report,Neutral
You don’t need to include the p-values of other studies,3. Technical and Scientific,Copy Correction,Directive,Within Report,Neutral
